	lvl_1	lvl_2	lvl_3	lvl_4	lvl_5	lvl_6	lvl_7	lvl_8	lvl_9	lvl_10	lvl_11	lvl_12	lvl_13	lvl_14	lvl_15	lvl_16
-0.25901	-176.4203417	-176.3110456	-176.2021573	-176.0938732	-175.9865377	-175.8808096	-175.7781018	-175.6819456	-175.1513404	-175.0551844	-174.9524767	-174.8467489	-174.7394139	-174.6311302	-174.5222425	-174.4129471
-0.25801	-176.4180357	-176.308747	-176.1998689	-176.0916005	-175.9842904	-175.8786075	-175.7759893	-175.6800431	-175.1532429	-175.0572968	-174.9546788	-174.8489961	-174.7416866	-174.6334186	-174.5245412	-174.415253
-0.25701	-176.4157299	-176.3064483	-176.1975807	-176.0893282	-175.9820439	-175.8764065	-175.7738796	-175.6781475	-175.1551383	-175.0594064	-174.9568798	-174.8512426	-174.7439589	-174.6357068	-174.5268398	-174.4175588
-0.25601	-176.4134244	-176.30415	-176.1952929	-176.0870563	-175.9797982	-175.874207	-175.7717726	-175.6762592	-175.1570266	-175.0615133	-174.9590793	-174.8534885	-174.7462306	-174.6379946	-174.5291381	-174.4198644
-0.25501	-176.4111188	-176.3018518	-176.1930053	-176.084785	-175.9775531	-175.8720089	-175.7696686	-175.6743781	-175.1589077	-175.0636174	-174.9612774	-174.8557335	-174.7485021	-174.6402822	-174.5314363	-174.4221699
-0.25401	-176.4088134	-176.2995538	-176.1907179	-176.0825139	-175.9753089	-175.8698121	-175.7675675	-175.6725046	-175.1607814	-175.0657185	-174.9634742	-174.8579779	-174.7507731	-174.6425696	-174.5337343	-174.4244752
-0.25301	-176.4065081	-176.2972558	-176.1884309	-176.0802433	-175.9730652	-175.8676164	-175.7654694	-175.6706386	-175.1626474	-175.0678166	-174.9656699	-174.8602214	-174.7530437	-174.6448566	-174.5360322	-174.4267805
-0.25201	-176.404203	-176.2949582	-176.1861441	-176.0779733	-175.9708223	-175.8654223	-175.7633742	-175.6687804	-175.1645054	-175.0699118	-174.9678638	-174.8624642	-174.7553137	-174.6471434	-174.5383297	-174.4290858
-0.25101	-176.401898	-176.2926607	-176.1838575	-176.0757035	-175.9685801	-175.8632298	-175.761282	-175.66693	-175.1663558	-175.072004	-174.9700565	-174.8647064	-174.7575835	-174.6494298	-174.5406273	-174.4313907
-0.25001	-176.3995932	-176.2903636	-176.1815713	-176.0734342	-175.9663387	-175.8610386	-175.759193	-175.6650879	-175.1681979	-175.074093	-174.9722478	-174.8669478	-174.7598528	-174.651716	-174.5429245	-174.4336955
-0.24901	-176.3972884	-176.2880664	-176.1792855	-176.0711655	-175.9640982	-175.8588486	-175.7571072	-175.6632541	-175.1700317	-175.0761788	-174.9744376	-174.8691884	-174.7621215	-174.6540019	-174.5452216	-174.4360002
-0.24801	-176.3949838	-176.2857695	-176.1769999	-176.0688972	-175.9618582	-175.8566602	-175.7550245	-175.6614288	-175.1718569	-175.0782613	-174.9766258	-174.8714283	-174.7643898	-174.6562877	-174.5475185	-174.4383047
-0.24701	-176.3926794	-176.2834727	-176.1747144	-176.0666292	-175.9596192	-175.8544735	-175.7529452	-175.6596122	-175.1736737	-175.0803407	-174.9788127	-174.8736673	-174.7666577	-174.658573	-174.5498153	-174.4406092
-0.24601	-176.390375	-176.2811763	-176.1724294	-176.0643617	-175.957381	-175.8522883	-175.7508693	-175.6578044	-175.1754814	-175.0824166	-174.980998	-174.8759056	-174.7689251	-174.6608579	-174.5521115	-174.4429137
-0.24501	-176.3880708	-176.27888	-176.1701446	-176.0620948	-175.9551436	-175.8501045	-175.7487969	-175.6560058	-175.17728	-175.0844893	-174.9831817	-174.878143	-174.7711921	-174.6631427	-174.5544078	-174.4452178
-0.24401	-176.3857668	-176.2765839	-176.1678601	-176.0598285	-175.9529069	-175.8479222	-175.7467277	-175.6542164	-175.1790694	-175.0865582	-174.985364	-174.8803797	-174.7734585	-174.6654274	-174.556704	-174.4475218
-0.24301	-176.3834629	-176.274288	-176.165576	-176.0575624	-175.950671	-175.8457418	-175.7446622	-175.6524366	-175.1808492	-175.0886238	-174.9875446	-174.8826154	-174.7757245	-174.6677114	-174.559	-174.4498257
-0.24201	-176.381159	-176.2719923	-176.1632922	-176.0552968	-175.9484361	-175.8435628	-175.7426003	-175.6506665	-175.1826193	-175.0906857	-174.9897236	-174.8848504	-174.7779901	-174.6699952	-174.5612956	-174.4521294
-0.24101	-176.3788555	-176.2696968	-176.1610085	-176.0530318	-175.9462021	-175.8413854	-175.740542	-175.6489064	-175.1843794	-175.0927439	-174.9919007	-174.8870844	-174.7802551	-174.6722787	-174.5635911	-174.454433
-0.24001	-176.3765521	-176.2674015	-176.1587253	-176.0507674	-175.9439689	-175.8392095	-175.7384874	-175.6471564	-175.1861294	-175.0947983	-174.9940765	-174.8893176	-174.7825195	-174.6745621	-174.5658864	-174.4567364
-0.23901	-176.3742487	-176.2651064	-176.1564424	-176.0485032	-175.9417364	-175.8370356	-175.736437	-175.6454168	-175.187869	-175.0968491	-174.9962506	-174.8915501	-174.7847835	-174.6768449	-174.5681815	-174.4590398
-0.23801	-176.3719453	-176.2628115	-176.1541598	-176.0462397	-175.9395048	-175.8348633	-175.7343902	-175.6436878	-175.1895978	-175.0988957	-174.9984227	-174.8937817	-174.7870472	-174.6791275	-174.5704764	-174.461343
-0.23701	-176.3696423	-176.2605168	-176.1518775	-176.0439768	-175.9372742	-175.832693	-175.7323474	-175.6419698	-175.1913159	-175.1009386	-175.0005932	-174.8960123	-174.7893102	-174.6814099	-174.5727709	-174.463646
-0.23601	-176.3673395	-176.2582225	-176.1495954	-176.0417144	-175.9350446	-175.8305241	-175.7303086	-175.640263	-175.1930229	-175.1029772	-175.0027622	-174.8982419	-174.7915726	-174.683692	-174.5750654	-174.4659489
-0.23501	-176.3650368	-176.2559282	-176.1473138	-176.0394523	-175.9328158	-175.8283572	-175.7282741	-175.6385676	-175.1947183	-175.1050119	-175.0049291	-174.9004707	-174.7938345	-174.6859734	-174.5773596	-174.4682516
-0.23401	-176.3627341	-176.2536342	-176.1450325	-176.0371908	-175.9305879	-175.826192	-175.7262437	-175.6368837	-175.1964021	-175.1070422	-175.0070942	-174.9026986	-174.7960959	-174.6882548	-174.5796538	-174.4705543
-0.23301	-176.3604316	-176.2513402	-176.1427515	-176.03493	-175.9283609	-175.8240286	-175.7242176	-175.6352118	-175.198074	-175.1090683	-175.0092574	-174.9049254	-174.7983569	-174.6905358	-174.5819475	-174.4728568
-0.23201	-176.3581294	-176.2490467	-176.1404708	-176.0326695	-175.926135	-175.8218673	-175.7221958	-175.6335522	-175.1997336	-175.11109	-175.0114189	-174.9071515	-174.8006173	-174.6928165	-174.5842411	-174.475159
-0.23101	-176.3558273	-176.2467533	-176.1381905	-176.0304098	-175.92391	-175.8197079	-175.7201788	-175.631905	-175.2013806	-175.1131073	-175.0135784	-174.9093764	-174.802877	-174.6950968	-174.5865343	-174.4774611
-0.23001	-176.3535252	-176.2444603	-176.1359105	-176.0281504	-175.9216859	-175.8175503	-175.718166	-175.6302706	-175.2030152	-175.1151199	-175.015736	-174.9116004	-174.8051364	-174.6973768	-174.5888275	-174.4797631
-0.22901	-176.3512235	-176.2421673	-176.1336309	-176.0258918	-175.9194629	-175.8153947	-175.716158	-175.6286493	-175.2046366	-175.1171278	-175.0178914	-174.9138236	-174.807395	-174.6996564	-174.5911204	-174.4820649
-0.22801	-176.3489217	-176.2398746	-176.1313515	-176.0236335	-175.9172408	-175.8132412	-175.7141548	-175.6270414	-175.2062443	-175.1191312	-175.0200449	-174.9160456	-174.8096531	-174.7019357	-174.5934131	-174.4843666
-0.22701	-176.3466201	-176.2375821	-176.1290725	-176.021376	-175.9150198	-175.8110897	-175.7121563	-175.6254471	-175.2078385	-175.1211296	-175.0221965	-174.9182665	-174.8119108	-174.7042146	-174.5957055	-174.4866681
-0.22601	-176.3443188	-176.2352899	-176.126794	-176.019119	-175.9127997	-175.8089403	-175.7101628	-175.623867	-175.2094187	-175.123123	-175.024346	-174.9204866	-174.8141679	-174.7064933	-174.5979979	-174.4889695
-0.22501	-176.3420178	-176.2329979	-176.1245156	-176.0168626	-175.9105808	-175.8067929	-175.7081744	-175.6223011	-175.2109847	-175.1251115	-175.0264932	-174.9227055	-174.8164243	-174.7087714	-174.6002898	-174.4912706
-0.22401	-176.3397165	-176.2307062	-176.1222378	-176.0146067	-175.908363	-175.8046477	-175.7061912	-175.6207499	-175.2125359	-175.1270948	-175.0286383	-174.9249234	-174.81868	-174.7110494	-174.6025815	-174.4935716
-0.22301	-176.3374157	-176.2284146	-176.1199603	-176.0123514	-175.9061462	-175.8025049	-175.7042131	-175.6192135	-175.2140722	-175.1290728	-175.0307812	-174.9271403	-174.8209352	-174.713327	-174.6048731	-174.4958726
-0.22201	-176.335115	-176.2261233	-176.1176832	-176.0100968	-175.9039304	-175.8003641	-175.7022403	-175.6176926	-175.215593	-175.1310456	-175.032922	-174.929356	-174.8231898	-174.7156041	-174.6071644	-174.4981732
-0.22101	-176.3328145	-176.2238323	-176.1154063	-176.0078429	-175.9017157	-175.7982254	-175.700273	-175.6161876	-175.2170982	-175.1330127	-175.0350607	-174.9315705	-174.825444	-174.7178807	-174.6094554	-174.5004737
-0.22001	-176.3305141	-176.2215414	-176.1131298	-176.0055894	-175.8995022	-175.7960892	-175.6983115	-175.6146985	-175.2185875	-175.1349743	-175.0371969	-174.933784	-174.8276974	-174.7201572	-174.6117462	-174.5027742
-0.21901	-176.3282139	-176.2192508	-176.1108538	-176.0033365	-175.8972899	-175.7939554	-175.6963556	-175.6132255	-175.2200601	-175.1369302	-175.0393307	-174.9359966	-174.8299501	-174.7224333	-174.6140367	-174.5050745
-0.21801	-176.3259137	-176.2169606	-176.1085783	-176.0010846	-175.8950787	-175.7918239	-175.6944055	-175.6117696	-175.221516	-175.1388805	-175.041462	-174.9382077	-174.8322021	-174.7247089	-174.6163271	-174.5073745
-0.21701	-176.3236139	-176.2146706	-176.1063029	-175.998833	-175.8928686	-175.7896948	-175.6924613	-175.6103309	-175.2229549	-175.1408245	-175.0435911	-174.9404178	-174.8344537	-174.7269842	-174.6186172	-174.5096742
-0.21601	-176.3213142	-176.2123807	-176.1040281	-175.9965821	-175.8906597	-175.7875683	-175.6905233	-175.6089097	-175.2243761	-175.1427626	-175.0457179	-174.9426266	-174.8367046	-174.729259	-174.6209069	-174.511974
-0.21501	-176.3190147	-176.2100911	-176.1017536	-175.9943318	-175.8884519	-175.7854441	-175.6885916	-175.6075063	-175.2257795	-175.1446944	-175.047842	-174.9448343	-174.8389549	-174.7315335	-174.6231964	-174.5142736
-0.21401	-176.3167153	-176.2078018	-176.0994795	-175.9920823	-175.8862454	-175.7833225	-175.6866659	-175.6061213	-175.2271643	-175.1466198	-175.0499635	-174.9470408	-174.8412044	-174.7338076	-174.6254858	-174.5165729
-0.21301	-176.3144161	-176.2055127	-176.0972057	-175.9898335	-175.8840402	-175.7812034	-175.6847468	-175.6047552	-175.2285306	-175.1485388	-175.0520825	-174.9492462	-174.8434532	-174.7360814	-174.6277749	-174.5188719
-0.21201	-176.312117	-176.2032239	-176.0949325	-175.9875853	-175.8818363	-175.7790871	-175.6828345	-175.6034081	-175.2298777	-175.1504515	-175.0541989	-174.95145	-174.8457014	-174.7383546	-174.6300636	-174.521171
-0.21101	-176.3098182	-176.2009353	-176.0926596	-175.9853377	-175.8796336	-175.7769733	-175.6809289	-175.6020805	-175.2312051	-175.1523571	-175.0563127	-174.9536527	-174.847949	-174.7406275	-174.6323521	-174.5234699
-0.21001	-176.3075195	-176.1986471	-176.0903871	-175.9830909	-175.8774321	-175.7748626	-175.67903	-175.6007731	-175.2325126	-175.1542557	-175.0584236	-174.9558542	-174.8501958	-174.7428998	-174.6346404	-174.5257686
-0.20901	-176.3052211	-176.1963591	-176.0881152	-175.9808447	-175.8752319	-175.7727543	-175.6771384	-175.5994861	-175.2337996	-175.1561475	-175.0605317	-174.9580544	-174.8524418	-174.7451719	-174.6369284	-174.528067
-0.20801	-176.3029228	-176.1940713	-176.0858435	-175.9785993	-175.8730331	-175.7706489	-175.6752539	-175.59822	-175.2350659	-175.1580319	-175.062637	-174.9602532	-174.8546872	-174.7474435	-174.6392162	-174.5303653
-0.20701	-176.3006247	-176.1917839	-176.0835723	-175.9763547	-175.8708357	-175.7685463	-175.6733768	-175.596975	-175.2363108	-175.159909	-175.0647397	-174.9624506	-174.8569319	-174.7497147	-174.6415036	-174.5326632
-0.20601	-176.2983267	-176.1894967	-176.0813015	-175.9741108	-175.8686396	-175.7664468	-175.6715071	-175.5957518	-175.2375339	-175.1617786	-175.0668393	-174.9646467	-174.8591759	-174.7519854	-174.6437908	-174.5349612
-0.20501	-176.2960291	-176.1872099	-176.0790312	-175.9718674	-175.8664448	-175.7643503	-175.6696454	-175.5945509	-175.2387348	-175.1636406	-175.0689357	-174.9668415	-174.8614192	-174.7542559	-174.6460776	-174.5372591
-0.20401	-176.2937314	-176.1849231	-176.0767613	-175.969625	-175.8642514	-175.7622568	-175.6677914	-175.5933725	-175.2399132	-175.1654944	-175.0710292	-174.9690348	-174.8636616	-174.7565257	-174.6483642	-174.5395566
-0.20301	-176.2914341	-176.1826368	-176.0744919	-175.9673833	-175.8620595	-175.7601661	-175.6659453	-175.5922173	-175.2410684	-175.1673404	-175.0731199	-174.9712268	-174.8659033	-174.7587951	-174.6506505	-174.5418538
-0.20201	-176.2891369	-176.1803508	-176.0722228	-175.9651423	-175.8598691	-175.7580789	-175.6641077	-175.5910857	-175.2422	-175.1691781	-175.0752071	-174.9734173	-174.8681443	-174.7610642	-174.6529367	-174.544151
-0.20101	-176.2868399	-176.1780651	-176.0699542	-175.9629021	-175.8576801	-175.7559949	-175.6622785	-175.5899782	-175.2433078	-175.1710074	-175.0772911	-174.9756061	-174.8703845	-174.7633328	-174.6552224	-174.546448
-0.20001	-176.2845432	-176.1757794	-176.0676861	-175.9606626	-175.8554925	-175.7539139	-175.6604577	-175.5888948	-175.2443909	-175.1728281	-175.0793721	-174.9777936	-174.872624	-174.7656008	-174.6575079	-174.5487448
-0.19901	-176.2822467	-176.1734942	-176.0654184	-175.958424	-175.8533065	-175.7518363	-175.6586457	-175.5878367	-175.2454489	-175.1746401	-175.0814497	-174.9799797	-174.8748626	-174.7678684	-174.6597931	-174.5510414
-0.19801	-176.2799502	-176.1712094	-176.0631513	-175.9561863	-175.8511221	-175.7497623	-175.6568428	-175.5868039	-175.2464817	-175.176443	-175.0835237	-174.9821643	-174.8771003	-174.7701356	-174.6620781	-174.5533379
-0.19701	-176.2776539	-176.1689248	-176.0608846	-175.9539491	-175.8489391	-175.7476916	-175.6550493	-175.5857972	-175.2474887	-175.1782367	-175.0855944	-174.9843471	-174.8793373	-174.7724023	-174.6643626	-174.555634
-0.19601	-176.275358	-176.1666405	-176.0586183	-175.9517129	-175.8467578	-175.7456243	-175.653265	-175.5848166	-175.2484693	-175.1800208	-175.0876617	-174.9865283	-174.8815735	-174.7746686	-174.6666469	-174.55793
-0.19501	-176.2730622	-176.1643565	-176.0563526	-175.9494776	-175.844578	-175.7435607	-175.6514902	-175.5838627	-175.2494229	-175.1817955	-175.0897251	-174.9887082	-174.8838089	-174.7769343	-174.6689309	-174.5602256
-0.19401	-176.2707666	-176.1620728	-176.0540875	-175.9472432	-175.8423999	-175.7415008	-175.6497253	-175.5829363	-175.2503493	-175.1835605	-175.091785	-174.9908863	-174.8860433	-174.7791994	-174.6712146	-174.5625212
-0.19301	-176.2684712	-176.1597894	-176.0518226	-175.9450096	-175.8402235	-175.7394446	-175.6479706	-175.5820376	-175.2512481	-175.1853152	-175.0938415	-174.9930627	-174.8882769	-174.7814643	-174.673498	-174.5648167
-0.19201	-176.266176	-176.1575063	-176.0495584	-175.9427767	-175.8380487	-175.7373922	-175.6462263	-175.5811671	-175.2521187	-175.1870595	-175.0958939	-174.9952375	-174.8905098	-174.7837285	-174.6757811	-174.567112
-0.19101	-176.263881	-176.1552235	-176.0472946	-175.9405447	-175.8358755	-175.7353435	-175.6444924	-175.5803251	-175.2529606	-175.1887934	-175.0979423	-174.9974107	-174.8927418	-174.7859923	-174.6780637	-174.5694069
-0.19001	-176.2615862	-176.152941	-176.0450313	-175.9383137	-175.8337041	-175.7332989	-175.6427692	-175.5795123	-175.2537734	-175.1905166	-175.099987	-174.9995819	-174.8949728	-174.7882554	-174.6803462	-174.5717015
-0.18901	-176.2592918	-176.150659	-176.0427686	-175.9360837	-175.8315347	-175.7312583	-175.6410569	-175.5787289	-175.2545568	-175.1922287	-175.1020276	-175.0017515	-174.8972028	-174.7905183	-174.6826283	-174.5739961
-0.18801	-176.2569974	-176.1483771	-176.0405064	-175.9338543	-175.8293669	-175.7292218	-175.6393563	-175.5779756	-175.2553101	-175.1939295	-175.1040641	-175.0039194	-174.899432	-174.7927804	-174.6849103	-174.5762904
-0.18701	-176.2547033	-176.1460956	-176.0382447	-175.931626	-175.8272008	-175.7271894	-175.6376671	-175.5772526	-175.2560331	-175.1956188	-175.1060964	-175.0060854	-174.9016605	-174.7950421	-174.6871917	-174.5785847
-0.18601	-176.2524092	-176.1438144	-176.0359835	-175.9293987	-175.8250366	-175.7251613	-175.6359895	-175.5765604	-175.2567253	-175.1972963	-175.1081247	-175.0082495	-174.9038879	-174.7973032	-174.6894727	-174.5808785
-0.18501	-176.2501156	-176.1415337	-176.033723	-175.9271723	-175.8228743	-175.7231376	-175.634324	-175.5758992	-175.2573865	-175.1989616	-175.1101484	-175.0104117	-174.9061141	-174.7995638	-174.6917536	-174.5831722
-0.18401	-176.2478221	-176.1392533	-176.0314628	-175.9249468	-175.8207139	-175.7211183	-175.6326711	-175.5752699	-175.258016	-175.2006147	-175.1121676	-175.0125721	-174.9083395	-174.801824	-174.6940341	-174.5854656
-0.18301	-176.245529	-176.1369731	-176.0292034	-175.9227223	-175.8185556	-175.7191035	-175.6310308	-175.5746724	-175.2586135	-175.202255	-175.1141824	-175.0147307	-174.9105641	-174.8040834	-174.6963143	-174.5877588
-0.18201	-176.2432359	-176.1346931	-176.0269443	-175.9204989	-175.8163991	-175.7170932	-175.6294033	-175.5741071	-175.2591785	-175.2038826	-175.1161926	-175.0168871	-174.9127877	-174.8063425	-174.698594	-174.5900517
-0.18101	-176.2409431	-176.1324137	-176.024686	-175.9182762	-175.8142445	-175.7150878	-175.627789	-175.5735744	-175.2597112	-175.2054967	-175.1181982	-175.0190415	-174.9150102	-174.8086008	-174.7008734	-174.5923447
-0.18001	-176.2386505	-176.1301346	-176.022428	-175.9160547	-175.8120922	-175.713087	-175.6261884	-175.5730749	-175.2602108	-175.2070974	-175.1201989	-175.0211941	-174.9172316	-174.8108586	-174.7031526	-174.5946374
-0.17901	-176.2363582	-176.1278558	-176.0201708	-175.9138342	-175.8099418	-175.7110912	-175.6246017	-175.5726087	-175.2606771	-175.2086841	-175.1221947	-175.0233444	-174.9194521	-174.813116	-174.7054314	-174.5969295
-0.17801	-176.2340661	-176.1255774	-176.0179141	-175.9116149	-175.8077934	-175.7091004	-175.623029	-175.5721761	-175.2611096	-175.2102566	-175.1241855	-175.0254926	-174.9216714	-174.8153728	-174.7077098	-174.5992215
-0.17701	-176.2317743	-176.1232993	-176.015658	-175.9093965	-175.8056472	-175.7071147	-175.6214709	-175.5717774	-175.2615083	-175.2118147	-175.1261712	-175.0276389	-174.9238899	-174.8176287	-174.7099879	-174.6015134
-0.17601	-176.2294826	-176.1210217	-176.0134024	-175.9071792	-175.8035032	-175.7051342	-175.6199276	-175.5714128	-175.2618729	-175.2133581	-175.1281517	-175.029783	-174.9261073	-174.8198841	-174.7122655	-174.6038052
-0.17501	-176.227191	-176.1187444	-176.0111476	-175.9049629	-175.8013614	-175.703159	-175.6183996	-175.5710825	-175.2622032	-175.2148863	-175.1301269	-175.0319247	-174.9283235	-174.8221391	-174.7145428	-174.6060965
-0.17401	-176.2248999	-176.1164673	-176.0088933	-175.9027478	-175.7992218	-175.7011892	-175.616887	-175.5707869	-175.2624988	-175.2163987	-175.1320965	-175.0340641	-174.9305385	-174.8243936	-174.7168198	-174.6083876
-0.17301	-176.2226091	-176.1141908	-176.0066396	-175.9005337	-175.7970847	-175.6992251	-175.6153904	-175.5705262	-175.2627595	-175.2178954	-175.1340608	-175.0362014	-174.9327527	-174.8266473	-174.7190964	-174.6106786
-0.17201	-176.2203183	-176.1119146	-176.0043865	-175.8983208	-175.7949497	-175.6972664	-175.6139099	-175.5703004	-175.2629853	-175.2193758	-175.1360194	-175.0383365	-174.9349656	-174.8289001	-174.7213725	-174.6129693
-0.17101	-176.218028	-176.1096388	-176.002134	-175.8961091	-175.7928169	-175.6953137	-175.6124461	-175.5701098	-175.2631759	-175.2208396	-175.1379723	-175.040469	-174.9371773	-174.8311526	-174.7236483	-174.6152597
-0.17001	-176.2157377	-176.1073632	-175.9998821	-175.8938985	-175.7906867	-175.6933666	-175.6109992	-175.5699545	-175.2633312	-175.2222864	-175.1399191	-175.0425991	-174.9393879	-174.8334046	-174.7259239	-174.6175499
-0.16901	-176.2134477	-176.1050882	-175.997631	-175.891689	-175.788559	-175.6914257	-175.6095698	-175.5698345	-175.2634512	-175.2237161	-175.14186	-175.044727	-174.9415974	-174.8356558	-174.7281989	-174.6198398
-0.16801	-176.2111581	-176.1028135	-175.9953806	-175.8894807	-175.7864337	-175.689491	-175.608158	-175.5697499	-175.2635358	-175.2251277	-175.1437948	-175.0468524	-174.9438056	-174.8379061	-174.7304736	-174.6221295
-0.16701	-176.2088687	-176.1005394	-175.9931306	-175.8872737	-175.7843109	-175.6875627	-175.6067646	-175.569701	-175.2635847	-175.2265212	-175.1457234	-175.0489751	-174.9460127	-174.8401559	-174.7327477	-174.6244189
-0.16601	-176.2065795	-176.0982654	-175.9908815	-175.8850678	-175.7821908	-175.6856405	-175.6053895	-175.5696876	-175.2635981	-175.2278961	-175.1476455	-175.0510954	-174.9482185	-174.8424052	-174.7350217	-174.6267081
-0.16501	-176.2042906	-176.0959919	-175.988633	-175.8828633	-175.7800733	-175.6837249	-175.6040334	-175.5697099	-175.2635758	-175.2292523	-175.1495609	-175.0532129	-174.950423	-174.8446538	-174.7372952	-174.628997
-0.16401	-176.2020019	-176.0937187	-175.9863852	-175.8806599	-175.7779582	-175.681816	-175.6026968	-175.5697676	-175.2635181	-175.2305889	-175.1514696	-175.0553279	-174.9526263	-174.8469016	-174.7395682	-174.6312857
-0.16301	-176.1997135	-176.0914461	-175.9841379	-175.8784579	-175.7758458	-175.6799142	-175.6013801	-175.5698607	-175.263425	-175.2319059	-175.1533716	-175.05744	-174.9548284	-174.8491486	-174.7418408	-174.633574
-0.16201	-176.1974253	-176.089174	-175.9818915	-175.8762572	-175.7737365	-175.6780191	-175.6000833	-175.5699894	-175.2632963	-175.2332024	-175.1552667	-175.0595496	-174.9570291	-174.8513952	-174.7441132	-174.6358621
-0.16101	-176.1951375	-176.0869021	-175.9796457	-175.8740577	-175.7716298	-175.6761312	-175.5988073	-175.5701535	-175.2631322	-175.2344783	-175.1571546	-175.0616564	-174.9592286	-174.8536409	-174.746385	-174.63815
-0.16001	-176.1928501	-176.0846307	-175.9774008	-175.8718596	-175.7695259	-175.6742507	-175.5975526	-175.5703528	-175.2629329	-175.2357333	-175.1590352	-175.06376	-174.9614267	-174.8558858	-174.7486562	-174.6404375
-0.15901	-176.1905627	-176.0823597	-175.9751563	-175.8696629	-175.7674248	-175.6723776	-175.5963192	-175.5705871	-175.2626986	-175.2369666	-175.1609082	-175.065861	-174.9636234	-174.8581302	-174.7509272	-174.6427248
-0.15801	-176.1882756	-176.0800892	-175.9729128	-175.8674675	-175.765327	-175.670512	-175.5951078	-175.5708564	-175.2624293	-175.238178	-175.1627737	-175.067959	-174.9658188	-174.8603739	-174.7531979	-174.6450119
-0.15701	-176.1859888	-176.0778191	-175.9706699	-175.8652734	-175.763232	-175.6686545	-175.5939188	-175.5711606	-175.2621251	-175.2393669	-175.1646314	-175.0700541	-174.9680127	-174.8626165	-174.7554679	-174.6472987
-0.15601	-176.1837024	-176.0755495	-175.9684279	-175.8630808	-175.7611402	-175.6668048	-175.5927528	-175.5714992	-175.2617865	-175.2405329	-175.1664811	-175.0721458	-174.9702053	-174.8648587	-174.7577375	-174.6495851
-0.15501	-176.1814162	-176.0732802	-175.9661866	-175.8608897	-175.7590512	-175.6649631	-175.5916102	-175.5718722	-175.2614135	-175.2416755	-175.1683226	-175.0742348	-174.9723965	-174.8670999	-174.7600067	-174.6518713
-0.15401	-176.1791303	-176.0710114	-175.963946	-175.8587001	-175.7569657	-175.6631298	-175.5904913	-175.5722794	-175.2610063	-175.2427945	-175.1701559	-175.0763203	-174.9745862	-174.8693406	-174.7622756	-174.6541572
-0.15301	-176.1768446	-176.0687431	-175.9617062	-175.8565119	-175.7548832	-175.6613052	-175.5893966	-175.5727203	-175.2605654	-175.2438891	-175.1719807	-175.0784028	-174.9767743	-174.8715803	-174.7645438	-174.6564429
-0.15201	-176.1745592	-176.0664752	-175.9594673	-175.8543251	-175.7528043	-175.6594892	-175.5883267	-175.5731948	-175.2600909	-175.244959	-175.1737966	-175.0804817	-174.9789611	-174.8738193	-174.7668116	-174.6587281
-0.15101	-176.1722742	-176.0642079	-175.9572291	-175.8521399	-175.7507285	-175.6576821	-175.5872822	-175.5737024	-175.2595833	-175.2460037	-175.1756039	-175.0825575	-174.9811464	-174.8760575	-174.7690791	-174.6610131
-0.15001	-176.1699896	-176.061941	-175.9549917	-175.8499563	-175.7486561	-175.655884	-175.5862631	-175.574243	-175.2590427	-175.2470226	-175.1774019	-175.0846297	-174.9833299	-174.878295	-174.7713459	-174.6632978
-0.14901	-176.1677051	-176.0596745	-175.952755	-175.8477741	-175.7465872	-175.6540953	-175.5852702	-175.574816	-175.2584697	-175.2480156	-175.1791906	-175.0866986	-174.985512	-174.8805315	-174.7736125	-174.6655824
-0.14801	-176.1654209	-176.0574085	-175.9505193	-175.8455936	-175.7445221	-175.6523161	-175.5843039	-175.5754216	-175.2578643	-175.2489818	-175.1809695	-175.088764	-174.9876926	-174.8827671	-174.7758784	-174.6678665
-0.14701	-176.163137	-176.0551431	-175.9482845	-175.8434147	-175.7424604	-175.6505466	-175.5833647	-175.5760588	-175.2572269	-175.249921	-175.1827391	-175.0908256	-174.9898715	-174.8850021	-174.7781438	-174.6701504
-0.14601	-176.1608536	-176.0528781	-175.9460505	-175.8412377	-175.7404025	-175.6487872	-175.582453	-175.5767275	-175.2565581	-175.2508328	-175.1844986	-175.0928835	-174.9920485	-174.8872362	-174.7804087	-174.6724338
-0.14501	-176.1585702	-176.0506136	-175.9438172	-175.839062	-175.7383482	-175.6470379	-175.5815691	-175.5774271	-175.2558585	-175.2517166	-175.186248	-175.0949376	-174.9942242	-174.8894693	-174.7826734	-174.674717
-0.14401	-176.1562874	-176.0483495	-175.9415848	-175.8368882	-175.7362978	-175.6452992	-175.5807139	-175.5781577	-175.255128	-175.2525717	-175.1879866	-175.0969882	-174.996398	-174.8917016	-174.7849374	-174.6769998
-0.14301	-176.1540048	-176.0460861	-175.9393534	-175.834716	-175.7342513	-175.6435709	-175.5798875	-175.5789184	-175.2543673	-175.2533981	-175.1897149	-175.0990346	-174.9985702	-174.8939331	-174.7872008	-174.6792825
-0.14201	-176.1517226	-176.0438231	-175.9371228	-175.8325455	-175.7322088	-175.6418535	-175.5790903	-175.579709	-175.2535767	-175.2541954	-175.1914321	-175.1010771	-175.0007407	-174.8961637	-174.7894638	-174.6815648
-0.14101	-176.1494405	-176.0415606	-175.9348932	-175.8303768	-175.7301703	-175.6401475	-175.5783229	-175.5805289	-175.2527568	-175.2549628	-175.1931383	-175.1031155	-175.0029094	-174.8983933	-174.7917261	-174.6838468
