	lvl_1	lvl_2	lvl_3	lvl_4	lvl_5	lvl_6	lvl_7	lvl_8	lvl_9	lvl_10	lvl_11	lvl_12	lvl_13	lvl_14	lvl_15	lvl_16
-0.34801	-176.6259879	-176.516217	-176.4066647	-176.297412	-176.1885863	-176.0803975	-175.9732176	-175.8677654	-174.9655207	-174.860069	-174.7528895	-174.6447012	-174.5358762	-174.426624	-174.3170723	-174.2073024
-0.34701	-176.6236734	-176.5139066	-176.4043595	-176.2951142	-176.1862994	-176.0781274	-175.9709745	-175.8655714	-174.9677149	-174.8623121	-174.7551596	-174.6469881	-174.5381738	-174.4289291	-174.3193829	-174.2096168
-0.34601	-176.621359	-176.5115962	-176.4020545	-176.2928166	-176.1840128	-176.0758576	-175.9687322	-175.8633786	-174.9699078	-174.8645542	-174.7574293	-174.6492747	-174.5404712	-174.4312342	-174.321693	-174.211931
-0.34501	-176.6190446	-176.5092859	-176.3997497	-176.2905195	-176.1817266	-176.0735883	-175.966491	-175.8611872	-174.972099	-174.8667956	-174.7596987	-174.6515609	-174.5427685	-174.4335391	-174.3240033	-174.2142454
-0.34401	-176.6167304	-176.5069757	-176.3974449	-176.2882225	-176.1794406	-176.0713195	-175.9642502	-175.8589973	-174.9742889	-174.8690363	-174.7619674	-174.6538467	-174.5450656	-174.4358437	-174.3263136	-174.2165597
-0.34301	-176.6144164	-176.5046656	-176.3951403	-176.2859255	-176.177155	-176.0690511	-175.9620104	-175.856809	-174.9764774	-174.8712762	-174.7642357	-174.6561325	-174.5473625	-174.4381482	-174.3286238	-174.2188738
-0.34201	-176.6121022	-176.5023556	-176.3928359	-176.2836287	-176.1748696	-176.0667832	-175.9597713	-175.854622	-174.9786643	-174.8735154	-174.7665037	-174.6584178	-174.5496593	-174.4404527	-174.3309337	-174.2211879
-0.34101	-176.6097881	-176.5000457	-176.3905315	-176.2813323	-176.1725845	-176.0645157	-175.957533	-175.8524365	-174.9808496	-174.8757537	-174.7687712	-174.6607029	-174.5519557	-174.4427572	-174.3332436	-174.223502
-0.34001	-176.6074742	-176.4977359	-176.3882271	-176.2790358	-176.1702996	-176.0622488	-175.9552954	-175.8502526	-174.9830335	-174.8779911	-174.7710382	-174.6629877	-174.554252	-174.4450613	-174.3355534	-174.2258159
-0.33901	-176.6051603	-176.4954262	-176.3859231	-176.2767397	-176.1680154	-176.0599823	-175.9530588	-175.8480705	-174.9852157	-174.8802278	-174.7733046	-174.6652721	-174.5565481	-174.4473653	-174.3378631	-174.2281296
-0.33801	-176.6028466	-176.4931166	-176.3836193	-176.2744439	-176.1657312	-176.0577162	-175.9508229	-175.8458898	-174.9873964	-174.8824635	-174.7755706	-174.6675562	-174.558844	-174.4496692	-174.3401727	-174.2304433
-0.33701	-176.6005329	-176.4908069	-176.3813156	-176.2721483	-176.1634472	-176.0554506	-175.9485878	-175.8437106	-174.9895756	-174.8846986	-174.7778363	-174.6698402	-174.5611397	-174.4519729	-174.3424822	-174.2327571
-0.33601	-176.5982191	-176.4884975	-176.3790119	-176.2698527	-176.1611635	-176.0531856	-175.9463537	-175.8415331	-174.9917531	-174.8869328	-174.7801013	-174.6721239	-174.5634352	-174.4542766	-174.3447916	-174.2350708
-0.33501	-176.5959056	-176.4861883	-176.3767084	-176.2675572	-176.1588803	-176.050921	-175.9441204	-175.8393573	-174.9939289	-174.8891662	-174.7823657	-174.6744069	-174.5657305	-174.4565801	-174.3471007	-174.2373843
-0.33401	-176.5935921	-176.4838792	-176.3744051	-176.2652621	-176.1565973	-176.0486571	-175.9418879	-175.8371832	-174.996103	-174.8913986	-174.7846298	-174.6766899	-174.5680256	-174.4588834	-174.3494099	-174.2396978
-0.33301	-176.5912789	-176.48157	-176.3721018	-176.2629673	-176.1543148	-176.0463934	-175.9396564	-175.8350108	-174.9982754	-174.8936301	-174.7868934	-174.6789725	-174.5703205	-174.4611866	-174.3517191	-174.2420113
-0.33201	-176.5889653	-176.4792612	-176.3697987	-176.2606727	-176.1520324	-176.0441305	-175.9374257	-175.8328402	-175.000446	-174.8958608	-174.7891565	-174.681255	-174.5726152	-174.4634896	-174.3540282	-174.2443246
-0.33101	-176.5866521	-176.4769523	-176.3674959	-176.2583783	-176.1497504	-176.0418678	-175.9351958	-175.8306712	-175.0026148	-174.8980905	-174.7914189	-174.6835369	-174.5749097	-174.4657926	-174.356337	-174.2466377
-0.33001	-176.584339	-176.4746434	-176.3651932	-176.256084	-176.1474687	-176.0396059	-175.9329671	-175.8285043	-175.0047819	-174.9003194	-174.7936811	-174.6858186	-174.5772038	-174.4680954	-174.3586456	-174.2489508
-0.32901	-176.582026	-176.4723346	-176.3628905	-176.2537898	-176.1451874	-176.0373444	-175.9307392	-175.826339	-175.0069473	-174.9025474	-174.7959425	-174.6880999	-174.5794979	-174.4703979	-174.3609543	-174.251264
-0.32801	-176.5797128	-176.4700263	-176.360588	-176.251496	-176.1429064	-176.0350835	-175.9285122	-175.8241755	-175.0091108	-174.9047744	-174.7982033	-174.6903809	-174.5817917	-174.4727003	-174.3632628	-174.2535769
-0.32701	-176.5773999	-176.4677178	-176.3582857	-176.2492026	-176.1406256	-176.0328229	-175.9262861	-175.8220139	-175.0112722	-174.9070003	-174.8004638	-174.6926615	-174.5840853	-174.4750027	-174.3655714	-174.2558898
-0.32601	-176.5750872	-176.4654095	-176.3559835	-176.2469092	-176.1383452	-176.0305631	-175.924061	-175.8198544	-175.0134318	-174.9092254	-174.8027237	-174.6949419	-174.5863786	-174.4773049	-174.3678796	-174.2582026
-0.32501	-176.5727743	-176.4631011	-176.3536816	-176.2446159	-176.1360653	-176.0283039	-175.9218368	-175.8176968	-175.0155894	-174.9114495	-174.8049829	-174.6972221	-174.5886719	-174.4796068	-174.3701878	-174.2605155
-0.32401	-176.5704617	-176.4607931	-176.3513798	-176.2423229	-176.1337857	-176.0260452	-175.9196137	-175.815541	-175.017745	-174.9136727	-174.8072416	-174.6995017	-174.5909647	-174.4819086	-174.3724958	-174.2628281
-0.32301	-176.5681491	-176.4584851	-176.349078	-176.2400303	-176.1315063	-176.0237869	-175.9173917	-175.8133873	-175.0198987	-174.9158948	-174.8094999	-174.7017809	-174.5932575	-174.4842103	-174.3748039	-174.2651407
