lvl_1  k2 k1 k0
H: -0.05401 -12.8428571 -0.4087369 -175.5698171
H: -0.05301 -13.0857143 -0.4357103 -175.5705659
H: -0.05201 -13.3214286 -0.4613907 -175.5712651
H: -0.05101 -13.5285714 -0.4835591 -175.5718580
H: -0.05001 -13.7642857 -0.5083310 -175.5725085
H: -0.04901 -14.0071429 -0.5333387 -175.5731521
H: -0.04801 -14.2428571 -0.5571506 -175.5737532
H: -0.04701 -14.4428571 -0.5769489 -175.5742429
H: -0.04601 -14.6714286 -0.5991306 -175.5747809
H: -0.04501 -14.8785714 -0.6188133 -175.5752482
H: -0.04401 -15.0928571 -0.6387347 -175.5757110
H: -0.04301 -15.3000000 -0.6576060 -175.5761406
H: -0.04201 -15.5214286 -0.6773061 -175.5765785
H: -0.04101 -15.7142857 -0.6940829 -175.5769432
H: -0.04001 -15.8857143 -0.7086577 -175.5772528
H: -0.03901 -16.0785714 -0.7246744 -175.5775851
H: -0.03801 -16.2571429 -0.7391366 -175.5778777
H: -0.03701 -16.4285714 -0.7526771 -175.5781449
H: -0.03601 -16.5857143 -0.7647860 -175.5783780
H: -0.03501 -16.7500000 -0.7771050 -175.5786088
H: -0.03401 -16.8857143 -0.7870091 -175.5787894
H: -0.03301 -17.0142857 -0.7961403 -175.5789514
H: -0.03201 -17.1500000 -0.8055130 -175.5791130
H: -0.03101 -17.2714286 -0.8136397 -175.5792489
H: -0.03001 -17.3642857 -0.8196716 -175.5793467
H: -0.02901 -17.4500000 -0.8250790 -175.5794319
H: -0.02801 -17.5357143 -0.8303036 -175.5795115
H: -0.02701 -17.6142857 -0.8349409 -175.5795798
H: -0.02601 -17.6714286 -0.8381934 -175.5796260
H: -0.02501 -17.7142857 -0.8405457 -175.5796582
H: -0.02401 -17.7500000 -0.8424450 -175.5796835
H: -0.02301 -17.7714286 -0.8435269 -175.5796971
H: -0.02201 -17.7785714 -0.8438770 -175.5797014
H: -0.02101 -17.7714286 -0.8435411 -175.5796974
H: -0.02001 -17.7642857 -0.8432139 -175.5796937
H: -0.01901 -17.7357143 -0.8419847 -175.5796805
H: -0.01801 -17.7000000 -0.8405140 -175.5796654
H: -0.01701 -17.6500000 -0.8385630 -175.5796464
H: -0.01601 -17.5857143 -0.8361774 -175.5796244
H: -0.01501 -17.5000000 -0.8331700 -175.5795981
H: -0.01401 -17.4142857 -0.8303454 -175.5795749
H: -0.01301 -17.3214286 -0.8274593 -175.5795526
H: -0.01201 -17.2142857 -0.8243443 -175.5795300
H: -0.01101 -17.0857143 -0.8208703 -175.5795067
H: -0.01001 -16.9642857 -0.8178321 -175.5794878
H: -0.00901 -16.8214286 -0.8145379 -175.5794690
H: -0.00801 -16.6785714 -0.8115350 -175.5794534
H: -0.00701 -16.5214286 -0.8085461 -175.5794393
H: -0.00601 -16.3500000 -0.8056170 -175.5794270
H: -0.00501 -16.1785714 -0.8030536 -175.5794176
H: -0.00401 -16.0071429 -0.8008159 -175.5794104
H: -0.00301 -15.8142857 -0.7986791 -175.5794047
H: -0.00201 -15.6142857 -0.7968866 -175.5794009
H: -0.00101 -15.4071428 -0.7954210 -175.5793986
H: -1e-05 -15.2071429 -0.7944227 -175.5793975
H: 0.00099 -15.0071428 -0.7938244 -175.5793973
H: 0.00199 -14.8000000 -0.7935960 -175.5793974
H: 0.00299 -14.5785714 -0.7938244 -175.5793976
H: 0.00399 -14.3428572 -0.7945154 -175.5793973
H: 0.00499 -14.1214286 -0.7956239 -175.5793962
H: 0.00599 -13.8928572 -0.7972250 -175.5793936
H: 0.00699 -13.6785714 -0.7991379 -175.5793896
H: 0.00799 -13.4500000 -0.8016590 -175.5793829
H: 0.00899 -13.2071429 -0.8047941 -175.5793730
H: 0.00999 -12.9714286 -0.8083366 -175.5793600
H: 0.01099 -12.7428572 -0.8122234 -175.5793437
H: 0.01199 -12.5142857 -0.8165446 -175.5793235
H: 0.01299 -12.2642857 -0.8218010 -175.5792961
H: 0.01399 -12.0500000 -0.8267310 -175.5792680
H: 0.01499 -11.8214286 -0.8324293 -175.5792327
H: 0.01599 -11.5928571 -0.8386019 -175.5791913
H: 0.01699 -11.3571429 -0.8454329 -175.5791420
H: 0.01799 -11.1285714 -0.8525083 -175.5790875
H: 0.01899 -10.9000000 -0.8600580 -175.5790254
H: 0.01999 -10.6857143 -0.8675480 -175.5789602
H: 0.02099 -10.4642857 -0.8757364 -175.5788847
H: 0.02199 -10.2500000 -0.8840950 -175.5788034
H: 0.02299 -10.0357143 -0.8928707 -175.5787138
H: 0.02399 -9.8285714 -0.9017794 -175.5786182
H: 0.02499 -9.6071428 -0.9117336 -175.5785066
H: 0.02599 -9.4071429 -0.9211353 -175.5783963
H: 0.02699 -9.1928571 -0.9316310 -175.5782680
H: 0.02799 -9.0071428 -0.9410987 -175.5781476
H: 0.02899 -8.8071429 -0.9517004 -175.5780073
H: 0.02999 -8.6142857 -0.9622923 -175.5778621
H: 0.03099 -8.4142857 -0.9736997 -175.5776996
H: 0.03199 -8.2357143 -0.9842319 -175.5775445
H: 0.03299 -8.0642857 -0.9946856 -175.5773853
H: 0.03399 -7.8714286 -1.0068260 -175.5771944
H: 0.03499 -7.6928571 -1.0184353 -175.5770059
H: 0.03599 -7.5214286 -1.0299233 -175.5768137
H: 0.03699 -7.3642857 -1.0407573 -175.5766271
H: 0.03799 -7.2000000 -1.0524240 -175.5764201
H: 0.03899 -7.0214286 -1.0654447 -175.5761830
H: 0.03999 -6.8714286 -1.0767089 -175.5759717
H: 0.04099 -6.7142857 -1.0888000 -175.5757392
H: 0.04199 -6.5714286 -1.1000771 -175.5755168
H: 0.04299 -6.4071429 -1.1133924 -175.5752472
H: 0.04399 -6.2785714 -1.1240556 -175.5750263
H: 0.04499 -6.1214286 -1.1374096 -175.5747427
H: 0.04599 -5.9928571 -1.1485984 -175.5744994
H: 0.04699 -5.8571429 -1.1606743 -175.5742309
H: 0.04799 -5.7285714 -1.1723660 -175.5739653
H: 0.04899 -5.5857143 -1.1856546 -175.5736564
H: 0.04999 -5.4642857 -1.1971879 -175.5733827
H: 0.05099 -5.3357143 -1.2096567 -175.5730805
H: 0.05199 -5.2285714 -1.2202674 -175.5728179
H: 0.05299 -5.1214286 -1.2310867 -175.5725449
H: 0.05399 -5.0000000 -1.2435800 -175.5722237
H: 0.05499 -4.8642857 -1.2578330 -175.5718496
H: 0.05599 -4.7642857 -1.2685424 -175.5715630
H: 0.05699 -4.6857143 -1.2771051 -175.5713298
H: 0.05799 -4.5714286 -1.2897714 -175.5709789
H: 0.05899 -4.4571429 -1.3026949 -175.5706137
H: 0.05999 -4.3428571 -1.3158354 -175.5702361
H: 0.06099 -4.2714286 -1.3241969 -175.5699915
H: 0.06199 -4.1785714 -1.3352450 -175.5696630
H: 0.06299 -4.0928571 -1.3456033 -175.5693501
H: 0.06399 -3.9857143 -1.3587911 -175.5689444
H: 0.06499 -3.9000000 -1.3694980 -175.5686101
H: 0.06599 -3.8142857 -1.3803877 -175.5682643
H: 0.06699 -3.7357143 -1.3905219 -175.5679377
H: 0.06799 -3.6642857 -1.3998776 -175.5676314
H: 0.06899 -3.5714286 -1.4122200 -175.5672213
H: 0.06999 -3.5071429 -1.4209087 -175.5669278
H: 0.07099 -3.4285714 -1.4316657 -175.5665597
H: 0.07199 -3.3571429 -1.4415871 -175.5662153
H: 0.07299 -3.2714286 -1.4536826 -175.5657887
H: 0.07399 -3.2142857 -1.4618471 -175.5654971
H: 0.07499 -3.1500000 -1.4711730 -175.5651589
H: 0.07599 -3.0857143 -1.4806160 -175.5648122
H: 0.07699 -3.0142857 -1.4912574 -175.5644160
H: 0.07799 -2.9357143 -1.5031201 -175.5639683
H: 0.07899 -2.8928571 -1.5096879 -175.5637167
H: 0.07999 -2.8428571 -1.5174311 -175.5634170
H: 0.08099 -2.7785714 -1.5275113 -175.5630219
H: 0.08199 -2.7000000 -1.5400140 -175.5625246
H: 0.08299 -2.6642857 -1.5457690 -175.5622928
H: 0.08399 -2.6071429 -1.5550707 -175.5619143
H: 0.08499 -2.5571429 -1.5633254 -175.5615737
H: 0.08599 -2.5071429 -1.5716801 -175.5612247
H: 0.08699 -2.4500000 -1.5813190 -175.5608183
H: 0.08799 -2.3928572 -1.5911064 -175.5603993
H: 0.08899 -2.3571429 -1.5972843 -175.5601322
H: 0.08999 -2.3142857 -1.6047720 -175.5598051
H: 0.09099 -2.2642857 -1.6136324 -175.5594127
H: 0.09199 -2.2214286 -1.6212973 -175.5590700
H: 0.09299 -2.1785714 -1.6290536 -175.5587191
H: 0.09399 -2.1214286 -1.6395096 -175.5582409
H: 0.09499 -2.0928571 -1.6448004 -175.5579960
H: 0.09599 -2.0571429 -1.6514783 -175.5576838
H: 0.09699 -2.0142857 -1.6595660 -175.5573023
H: 0.09799 -1.9642857 -1.6691264 -175.5568454
H: 0.09899 -1.9357143 -1.6746401 -175.5565794
H: 0.09999 -1.9000000 -1.6815980 -175.5562405
H: 0.10099 -1.8642857 -1.6886387 -175.5558936
H: 0.10199 -1.8357143 -1.6943239 -175.5556108
H: 0.10299 -1.8000000 -1.7014960 -175.5552508
H: 0.10399 -1.7500000 -1.7116450 -175.5547358
H: 0.10499 -1.7142857 -1.7189714 -175.5543601
H: 0.10599 -1.7000000 -1.7219340 -175.5542065
H: 0.10699 -1.6714286 -1.7278934 -175.5538958
H: 0.10799 -1.6428571 -1.7339271 -175.5535773
H: 0.10899 -1.6071428 -1.7415336 -175.5531723
H: 0.10999 -1.5642857 -1.7507356 -175.5526784
H: 0.11099 -1.5428572 -1.7554080 -175.5524237
H: 0.11199 -1.5285714 -1.7585249 -175.5522537
H: 0.11299 -1.4928571 -1.7664056 -175.5518190
H: 0.11399 -1.4500000 -1.7759790 -175.5512845
H: 0.11499 -1.4500000 -1.7759790 -175.5512845
H: 0.11599 -1.4214286 -1.7824527 -175.5509178
H: 0.11699 -1.3785714 -1.7922661 -175.5503561
H: 0.11799 -1.3642857 -1.7955830 -175.5501636
H: 0.11899 -1.3571429 -1.7972357 -175.5500680
H: 0.11999 -1.3142857 -1.8072949 -175.5494778
H: 0.12099 -1.2785714 -1.8157756 -175.5489743
H: 0.12199 -1.2714286 -1.8174826 -175.5488724
H: 0.12299 -1.2642857 -1.8191981 -175.5487694
H: 0.12399 -1.2357143 -1.8261404 -175.5483477
H: 0.12499 -1.2142857 -1.8313900 -175.5480262
H: 0.12599 -1.1857143 -1.8384466 -175.5475905
H: 0.12699 -1.1642857 -1.8437819 -175.5472584
H: 0.12799 -1.1357143 -1.8509527 -175.5468085
H: 0.12899 -1.1285714 -1.8527654 -175.5466935
H: 0.12999 -1.1214286 -1.8545867 -175.5465774
H: 0.13099 -1.1000000 -1.8600820 -175.5462252
H: 0.13199 -1.0642857 -1.8693370 -175.5456256
H: 0.13299 -1.0642857 -1.8693484 -175.5456241
H: 0.13399 -1.0428571 -1.8749666 -175.5452559
H: 0.13499 -1.0214286 -1.8806504 -175.5448790
H: 0.13599 -1.0071429 -1.8844759 -175.5446229
H: 0.13699 -1.0000000 -1.8863800 -175.5444961
H: 0.13799 -0.9642857 -1.8960636 -175.5438397
H: 0.13899 -0.9500000 -1.8999690 -175.5435728
H: 0.13999 -0.9500000 -1.8999690 -175.5435728
H: 0.14099 -0.9357143 -1.9039201 -175.5432996
H: 0.14199 -0.9142857 -1.9098983 -175.5428827
H: 0.14299 -0.9000000 -1.9139180 -175.5425999
H: 0.14399 -0.8857143 -1.9179549 -175.5423148
H: 0.14499 -0.8785714 -1.9199961 -175.5421689
H: 0.14599 -0.8571429 -1.9261400 -175.5417286
H: 0.14699 -0.8428571 -1.9302683 -175.5414303
H: 0.14799 -0.8357143 -1.9323581 -175.5412775
H: 0.14899 -0.8214286 -1.9365264 -175.5409735
H: 0.14999 -0.8071429 -1.9407519 -175.5406610
H: 0.15099 -0.7928571 -1.9449944 -175.5403461
H: 0.15199 -0.7928571 -1.9449887 -175.5403469
H: 0.15299 -0.7571429 -1.9557380 -175.5395381
H: 0.15399 -0.7571428 -1.9557437 -175.5395373
H: 0.15499 -0.7571429 -1.9557494 -175.5395364
H: 0.15599 -0.7500000 -1.9579250 -175.5393707
H: 0.15699 -0.7285714 -1.9645574 -175.5388576
H: 0.15799 -0.7071429 -1.9712156 -175.5383404
H: 0.15899 -0.7071429 -1.9712213 -175.5383395
H: 0.15999 -0.6928571 -1.9757210 -175.5379852
H: 0.16099 -0.6928571 -1.9757153 -175.5379861
H: 0.16199 -0.6714286 -1.9825563 -175.5374401
H: 0.16299 -0.6642857 -1.9848433 -175.5372571
H: 0.16399 -0.6500000 -1.9894630 -175.5368836
H: 0.16499 -0.6500000 -1.9894630 -175.5368836
H: 0.16599 -0.6500000 -1.9894630 -175.5368836
H: 0.16699 -0.6357143 -1.9941570 -175.5364980
H: 0.16799 -0.6142857 -2.0012494 -175.5359112
H: 0.16899 -0.6000000 -2.0060120 -175.5355143
H: 0.16999 -0.6142857 -2.0012323 -175.5359140
H: 0.17099 -0.6071429 -2.0036279 -175.5357132
H: 0.17199 -0.5785714 -2.0133073 -175.5348934
H: 0.17299 -0.5642857 -2.0181956 -175.5344753
H: 0.17399 -0.5714286 -2.0157400 -175.5346863
H: 0.17499 -0.5642857 -2.0181984 -175.5344748
H: 0.17599 -0.5642857 -2.0182099 -175.5344728
H: 0.17699 -0.5571428 -2.0206911 -175.5342573
H: 0.17799 -0.5285714 -2.0307134 -175.5333785
H: 0.17899 -0.5285714 -2.0307363 -175.5333744
H: 0.17999 -0.5285714 -2.0307191 -175.5333775
H: 0.18099 -0.5214286 -2.0332690 -175.5331499
H: 0.18199 -0.5071429 -2.0384087 -175.5326876
H: 0.18299 -0.5142857 -2.0358189 -175.5329224
H: 0.18399 -0.4857143 -2.0461897 -175.5319813
H: 0.18499 -0.4928571 -2.0435941 -175.5322171
H: 0.18599 -0.4928572 -2.0435884 -175.5322181
H: 0.18699 -0.4785714 -2.0488481 -175.5317340
H: 0.18799 -0.4642857 -2.0541650 -175.5312393
H: 0.18899 -0.4714286 -2.0514951 -175.5314888
H: 0.18999 -0.4642857 -2.0541679 -175.5312388
H: 0.19099 -0.4642857 -2.0541793 -175.5312367
H: 0.19199 -0.4571429 -2.0568749 -175.5309824
H: 0.19299 -0.4285714 -2.0677543 -175.5299467
H: 0.19399 -0.4285714 -2.0677771 -175.5299423
H: 0.19499 -0.4428571 -2.0622660 -175.5304738
H: 0.19599 -0.4285714 -2.0677829 -175.5299412
H: 0.19699 -0.4142857 -2.0733569 -175.5293975
H: 0.19799 -0.4214286 -2.0705584 -175.5296716
H: 0.19899 -0.4142857 -2.0733597 -175.5293970
H: 0.19999 -0.4000000 -2.0790080 -175.5288387
H: 0.20099 -0.4000000 -2.0790080 -175.5288387
H: 0.20199 -0.4000000 -2.0790080 -175.5288387
H: 0.20299 -0.3857143 -2.0847306 -175.5282656
H: 0.20399 -0.3928571 -2.0818636 -175.5285533
H: 0.20499 -0.3785714 -2.0876376 -175.5279699
H: 0.20599 -0.3714286 -2.0905446 -175.5276741
H: 0.20699 -0.3714286 -2.0905617 -175.5276706
H: 0.20799 -0.3857143 -2.0846734 -175.5282773
H: 0.20899 -0.3642857 -2.0935230 -175.5273637
H: 0.20999 -0.3500000 -2.0994570 -175.5267475
H: 0.21099 -0.3500000 -2.0994570 -175.5267475
H: 0.21199 -0.3500000 -2.0994570 -175.5267475
H: 0.21299 -0.3500000 -2.0994570 -175.5267475
H: 0.21399 -0.3500000 -2.0994570 -175.5267475
H: 0.21499 -0.3357143 -2.1055224 -175.5261037
H: 0.21599 -0.3285714 -2.1085780 -175.5257769
H: 0.21699 -0.3357143 -2.1055196 -175.5261043
H: 0.21799 -0.3357143 -2.1055081 -175.5261068
H: 0.21899 -0.3142857 -2.1147863 -175.5251025
H: 0.21999 -0.3142857 -2.1147977 -175.5251000
H: 0.22099 -0.3214286 -2.1116707 -175.5254422
H: 0.22199 -0.3142857 -2.1148006 -175.5250994
H: 0.22299 -0.3000000 -2.1211060 -175.5244036
H: 0.22399 -0.3000000 -2.1211060 -175.5244036
H: 0.22499 -0.3142857 -2.1147549 -175.5251095
H: 0.22599 -0.3071429 -2.1179361 -175.5247553
H: 0.22699 -0.2928572 -2.1243501 -175.5240354
H: 0.22799 -0.2714286 -2.1340197 -175.5229445
H: 0.22899 -0.2928571 -2.1243187 -175.5240425
H: 0.22999 -0.2928571 -2.1243130 -175.5240438
H: 0.23099 -0.2928571 -2.1243073 -175.5240451
H: 0.23199 -0.2714286 -2.1341483 -175.5229152
H: 0.23299 -0.2642857 -2.1374353 -175.5225371
H: 0.23399 -0.2642857 -2.1374467 -175.5225344
H: 0.23499 -0.2857143 -2.1274829 -175.5236927
H: 0.23599 -0.2714286 -2.1341369 -175.5229179
H: 0.23699 -0.2571429 -2.1408480 -175.5221297
H: 0.23799 -0.2571428 -2.1408537 -175.5221283
H: 0.23899 -0.2642857 -2.1374639 -175.5225305
H: 0.23999 -0.2500000 -2.1442550 -175.5217234
H: 0.24099 -0.2642857 -2.1374467 -175.5225346
H: 0.24199 -0.2571429 -2.1408566 -175.5221277
H: 0.24299 -0.2428571 -2.1477277 -175.5213015
H: 0.24399 -0.2357143 -2.1511890 -175.5208822
H: 0.24499 -0.2357143 -2.1511776 -175.5208849
H: 0.24599 -0.2428571 -2.1477106 -175.5213056
H: 0.24699 -0.2428571 -2.1477049 -175.5213070
H: 0.24799 -0.2428572 -2.1476991 -175.5213084
H: 0.24899 -0.2214286 -2.1582687 -175.5200051
H: 0.24999 -0.2285714 -2.1547331 -175.5204426
H: 0.25099 -0.2214286 -2.1582830 -175.5200015
H: 0.25199 -0.2285714 -2.1547189 -175.5204461
H: 0.25299 -0.2214286 -2.1582973 -175.5199980
H: 0.25399 -0.2285714 -2.1547046 -175.5204497
H: 0.25499 -0.2214286 -2.1583116 -175.5199944
H: 0.25599 -0.2142857 -2.1619271 -175.5195368
H: 0.25699 -0.2142857 -2.1619386 -175.5195339
H: 0.25799 -0.2071428 -2.1655770 -175.5190706
H: 0.25899 -0.2071429 -2.1655827 -175.5190691
H: 0.25999 -0.2071429 -2.1655884 -175.5190677
H: 0.26099 -0.2142857 -2.1618843 -175.5195479
H: 0.26199 -0.2000000 -2.1693040 -175.5185845
H: 0.26299 -0.2000000 -2.1693040 -175.5185845
H: 0.26399 -0.2000000 -2.1693040 -175.5185845
H: 0.26499 -0.2000000 -2.1693040 -175.5185845
H: 0.26599 -0.2000000 -2.1693040 -175.5185845
H: 0.26699 -0.1857143 -2.1768551 -175.5175867
H: 0.26799 -0.1785714 -2.1806536 -175.5170817
H: 0.26899 -0.1857143 -2.1768523 -175.5175874
H: 0.26999 -0.2000000 -2.1692040 -175.5186111
H: 0.27099 -0.2000000 -2.1692040 -175.5186111
H: 0.27199 -0.1857143 -2.1768980 -175.5175751
H: 0.27299 -0.1785714 -2.1807679 -175.5170510
H: 0.27399 -0.1714286 -2.1846463 -175.5165245
H: 0.27499 -0.1785714 -2.1807536 -175.5170549
H: 0.27599 -0.1714286 -2.1846606 -175.5165206
H: 0.27699 -0.1785714 -2.1807393 -175.5170588
H: 0.27799 -0.1714286 -2.1846749 -175.5165167
H: 0.27899 -0.1785714 -2.1807250 -175.5170627
H: 0.27999 -0.1714286 -2.1846891 -175.5165128
H: 0.28099 -0.1642857 -2.1886619 -175.5159604
H: 0.28199 -0.1642857 -2.1886733 -175.5159572
H: 0.28299 -0.1714286 -2.1846606 -175.5165207
H: 0.28399 -0.1785714 -2.1806393 -175.5170867
H: 0.28499 -0.1571429 -2.1927403 -175.5153783
H: 0.28599 -0.1571429 -2.1927460 -175.5153767
H: 0.28699 -0.1571429 -2.1927517 -175.5153751
H: 0.28799 -0.1642857 -2.1886619 -175.5159605
H: 0.28899 -0.1500000 -2.1968530 -175.5147864
H: 0.28999 -0.1500000 -2.1968530 -175.5147864
H: 0.29099 -0.1500000 -2.1968530 -175.5147864
H: 0.29199 -0.1500000 -2.1968530 -175.5147864
H: 0.29299 -0.1642857 -2.1885590 -175.5159902
H: 0.29399 -0.1571428 -2.1927117 -175.5153866
H: 0.29499 -0.1428571 -2.2010686 -175.5141645
H: 0.29599 -0.1357143 -2.2052727 -175.5135459
H: 0.29699 -0.1500000 -2.1968530 -175.5147865
H: 0.29799 -0.1500000 -2.1968530 -175.5147865
H: 0.29899 -0.1357143 -2.2053184 -175.5135324
H: 0.29999 -0.1428571 -2.2010800 -175.5141611
H: 0.30099 -0.1428571 -2.2010743 -175.5141628
H: 0.30199 -0.1428572 -2.2010686 -175.5141645
H: 0.30299 -0.1357143 -2.2053727 -175.5135161
H: 0.30399 -0.1357143 -2.2053613 -175.5135196
H: 0.30499 -0.1285714 -2.2096883 -175.5128643
H: 0.30599 -0.1357143 -2.2053584 -175.5135205
H: 0.30699 -0.1500000 -2.1966530 -175.5148467
H: 0.30799 -0.1357143 -2.2053756 -175.5135152
H: 0.30899 -0.1142857 -2.2185109 -175.5115023
H: 0.30999 -0.1285714 -2.2097426 -175.5128478
H: 0.31099 -0.1285714 -2.2097254 -175.5128530
H: 0.31199 -0.1357143 -2.2053099 -175.5135354
H: 0.31299 -0.1285714 -2.2097511 -175.5128451
H: 0.31399 -0.1285714 -2.2097340 -175.5128504
H: 0.31499 -0.1142857 -2.2186794 -175.5114501
H: 0.31599 -0.1214286 -2.2141953 -175.5121538
H: 0.31699 -0.1142857 -2.2186823 -175.5114492
H: 0.31799 -0.1285714 -2.2096854 -175.5128657
H: 0.31899 -0.1285714 -2.2096683 -175.5128711
H: 0.31999 -0.1214286 -2.2142039 -175.5121511
H: 0.32099 -0.1071429 -2.2233150 -175.5106984
H: 0.32199 -0.1142857 -2.2187394 -175.5114311
H: 0.32299 -0.1142857 -2.2187508 -175.5114275
H: 0.32399 -0.1214286 -2.2141524 -175.5121676
H: 0.32499 -0.1285714 -2.2095454 -175.5129104
H: 0.32599 -0.1071429 -2.2234036 -175.5106699
H: 0.32699 -0.1071429 -2.2234093 -175.5106680
H: 0.32799 -0.1071429 -2.2234150 -175.5106662
H: 0.32899 -0.1142857 -2.2187394 -175.5114313
H: 0.32999 -0.1000000 -2.2281020 -175.5098973
H: 0.33099 -0.1142857 -2.2187223 -175.5114369
H: 0.33199 -0.1214286 -2.2140096 -175.5122142
H: 0.33299 -0.1000000 -2.2281620 -175.5098775
H: 0.33399 -0.0928571 -2.2329147 -175.5090869
H: 0.33499 -0.1071429 -2.2234150 -175.5106662
H: 0.33599 -0.1142857 -2.2186394 -175.5114644
H: 0.33699 -0.1000000 -2.2282020 -175.5098642
H: 0.33799 -0.1142857 -2.2186223 -175.5114702
H: 0.33899 -0.1071429 -2.2234178 -175.5106653
H: 0.33999 -0.0928571 -2.2330604 -175.5090381
H: 0.34099 -0.0857143 -2.2379074 -175.5082159
H: 0.34199 -0.1000000 -2.2282020 -175.5098643
H: 0.34299 -0.1000000 -2.2282020 -175.5098643
H: 0.34399 -0.1000000 -2.2282020 -175.5098643
H: 0.34499 -0.1000000 -2.2282020 -175.5098643
H: 0.34599 -0.1000000 -2.2282020 -175.5098643
H: 0.34699 -0.1000000 -2.2282020 -175.5098643
H: 0.34799 -0.1000000 -2.2282020 -175.5098643
H: 0.34899 -0.0857143 -2.2380960 -175.5081512
H: 0.34999 -0.0785714 -2.2430659 -175.5072867
H: 0.35099 -0.1000000 -2.2281420 -175.5098851
H: 0.35199 -0.1071429 -2.2231321 -175.5107636
H: 0.35299 -0.0785714 -2.2431544 -175.5072558
H: 0.35399 -0.0785714 -2.2431773 -175.5072477
H: 0.35499 -0.0928571 -2.2330947 -175.5090267
H: 0.35599 -0.1071429 -2.2229950 -175.5108118
H: 0.35699 -0.0928571 -2.2331233 -175.5090166
H: 0.35799 -0.0785714 -2.2432687 -175.5072154
H: 0.35899 -0.0785714 -2.2432916 -175.5072072
H: 0.35999 -0.0928571 -2.2330661 -175.5090370
H: 0.36099 -0.0928571 -2.2330604 -175.5090391
H: 0.36199 -0.0714286 -2.2484729 -175.5062677
H: 0.36299 -0.0785714 -2.2433230 -175.5071960
H: 0.36399 -0.0857143 -2.2381646 -175.5081273
H: 0.36499 -0.1000000 -2.2278020 -175.5100065
H: 0.36599 -0.0857143 -2.2381817 -175.5081211
H: 0.36699 -0.0642857 -2.2538027 -175.5052742
H: 0.36799 -0.0785714 -2.2433773 -175.5071763
H: 0.36899 -0.0928571 -2.2328947 -175.5090992
H: 0.36999 -0.0785714 -2.2433830 -175.5071742
H: 0.37099 -0.0785714 -2.2434059 -175.5071658
H: 0.37199 -0.0785714 -2.2433887 -175.5071721
H: 0.37299 -0.0857143 -2.2381017 -175.5081504
H: 0.37399 -0.0642857 -2.2540227 -175.5051932
H: 0.37499 -0.0857143 -2.2380589 -175.5081664
H: 0.37599 -0.0785714 -2.2434001 -175.5071679
H: 0.37699 -0.0785714 -2.2433830 -175.5071743
H: 0.37799 -0.0642857 -2.2541284 -175.5051537
H: 0.37899 -0.0714286 -2.2487443 -175.5061683
H: 0.37999 -0.0785714 -2.2433516 -175.5071861
H: 0.38099 -0.0714286 -2.2487586 -175.5061629
H: 0.38199 -0.0785714 -2.2433373 -175.5071915
H: 0.38299 -0.0714286 -2.2487729 -175.5061574
H: 0.38399 -0.0785714 -2.2433230 -175.5071970
H: 0.38499 -0.0714286 -2.2487871 -175.5061520
H: 0.38599 -0.0785714 -2.2433087 -175.5072024
H: 0.38699 -0.0571428 -2.2597812 -175.5040368
H: 0.38799 -0.0714286 -2.2487786 -175.5061553
H: 0.38899 -0.0642857 -2.2542941 -175.5050906
H: 0.38999 -0.0714286 -2.2487528 -175.5061652
H: 0.39099 -0.0714286 -2.2487700 -175.5061586
H: 0.39199 -0.0857143 -2.2376246 -175.5083324
H: 0.39299 -0.0642857 -2.2543599 -175.5050650
H: 0.39399 -0.0500000 -2.2655510 -175.5028733
H: 0.39499 -0.0642857 -2.2543427 -175.5050717
H: 0.39599 -0.0714286 -2.2487157 -175.5061799
H: 0.39699 -0.0785714 -2.2430801 -175.5072915
H: 0.39799 -0.0571429 -2.2600240 -175.5039421
H: 0.39899 -0.0571429 -2.2600297 -175.5039398
H: 0.39999 -0.0714286 -2.2486843 -175.5061924
H: 0.40099 -0.0714286 -2.2486614 -175.5062015

lvl_6  k2 k1 k0
H: -0.39701 -0.1428571 2.1738971 -175.3065190
H: -0.39601 -0.1285714 2.1852946 -175.3042457
H: -0.39501 -0.1285714 2.1852717 -175.3042548
H: -0.39401 -0.1428571 2.1739543 -175.3064963
H: -0.39301 -0.1428571 2.1739600 -175.3064940
H: -0.39201 -0.1357143 2.1795844 -175.3053868
H: -0.39101 -0.1500000 2.1683470 -175.3075967
H: -0.39001 -0.1500000 2.1683470 -175.3075967
H: -0.38901 -0.1357143 2.1795387 -175.3054048
H: -0.38801 -0.1428571 2.1739486 -175.3064985
H: -0.38701 -0.1428571 2.1739543 -175.3064963
H: -0.38601 -0.1571429 2.1628540 -175.3086526
H: -0.38501 -0.1428572 2.1739257 -175.3065074
H: -0.38401 -0.1571429 2.1628826 -175.3086415
H: -0.38301 -0.1571429 2.1628769 -175.3086437
H: -0.38201 -0.1500000 2.1683870 -175.3075811
H: -0.38101 -0.1428571 2.1738486 -175.3065371
H: -0.38001 -0.1571429 2.1629197 -175.3086273
H: -0.37901 -0.1642857 2.1574810 -175.3096625
H: -0.37801 -0.1642857 2.1574696 -175.3096669
H: -0.37701 -0.1714286 2.1520537 -175.3106935
H: -0.37601 -0.1642857 2.1574667 -175.3096680
H: -0.37501 -0.1500000 2.1682470 -175.3076342
H: -0.37401 -0.1500000 2.1682470 -175.3076342
H: -0.37301 -0.1642857 2.1575124 -175.3096507
H: -0.37201 -0.1857143 2.1414620 -175.3126562
