lvl_1  k2 k1 k0
H: -0.28401 -0.0500000 2.2804890 -175.8263135
H: -0.28301 -0.0428571 2.2845506 -175.8257361
H: -0.28201 -0.0571428 2.2764217 -175.8268925
H: -0.28101 -0.0642857 2.2723830 -175.8274633
H: -0.28001 -0.0500000 2.2804490 -175.8263248
H: -0.27901 -0.0500000 2.2804490 -175.8263248
H: -0.27801 -0.0500000 2.2804490 -175.8263248
H: -0.27701 -0.0642857 2.2724573 -175.8274425
H: -0.27601 -0.0571429 2.2764474 -175.8268852
H: -0.27501 -0.0571429 2.2764417 -175.8268868
H: -0.27401 -0.0571429 2.2764360 -175.8268884
H: -0.27301 -0.0500000 2.2803890 -175.8263415
H: -0.27201 -0.0428571 2.2842934 -175.8258080
H: -0.27101 -0.0714286 2.2686586 -175.8279469
H: -0.27001 -0.0714286 2.2686814 -175.8279406
H: -0.26901 -0.0428571 2.2841906 -175.8258360
H: -0.26801 -0.0500000 2.2803090 -175.8263633
H: -0.26701 -0.0714286 2.2687700 -175.8279167
H: -0.26601 -0.0642857 2.2726116 -175.8274002
H: -0.26501 -0.0500000 2.2802490 -175.8263794
H: -0.26401 -0.0642857 2.2726287 -175.8273956
H: -0.26301 -0.0571429 2.2764331 -175.8268890
H: -0.26201 -0.0571429 2.2764274 -175.8268905
H: -0.26101 -0.0571429 2.2764217 -175.8268920
H: -0.26001 -0.0785714 2.2651770 -175.8283672
H: -0.25901 -0.0571428 2.2763903 -175.8269003
H: -0.25801 -0.0571429 2.2763846 -175.8269018
H: -0.25701 -0.0714286 2.2689586 -175.8278668
H: -0.25601 -0.0714286 2.2689814 -175.8278609
H: -0.25501 -0.0571429 2.2763274 -175.8269165
H: -0.25401 -0.0571429 2.2763217 -175.8269180
H: -0.25301 -0.0642857 2.2726830 -175.8273814
H: -0.25201 -0.0642857 2.2726716 -175.8273843
H: -0.25101 -0.0714286 2.2690557 -175.8278419
H: -0.25001 -0.0642857 2.2726687 -175.8273850
H: -0.24901 -0.0642857 2.2726573 -175.8273879
H: -0.24801 -0.0714286 2.2690843 -175.8278347
H: -0.24701 -0.0642857 2.2726544 -175.8273886
H: -0.24601 -0.0642857 2.2726430 -175.8273915
H: -0.24501 -0.0714286 2.2691129 -175.8278276
H: -0.24401 -0.0785714 2.2655913 -175.8282617
H: -0.24301 -0.0571428 2.2761189 -175.8269687
H: -0.24201 -0.0714286 2.2691214 -175.8278255
H: -0.24101 -0.0785714 2.2656427 -175.8282491
H: -0.24001 -0.0785714 2.2656599 -175.8282449
H: -0.23901 -0.0500000 2.2794490 -175.8265812
H: -0.23801 -0.0642857 2.2725716 -175.8274089
H: -0.23701 -0.0857143 2.2623069 -175.8286382
H: -0.23601 -0.0857143 2.2623183 -175.8286354
H: -0.23501 -0.0642857 2.2724973 -175.8274266
H: -0.23401 -0.0642857 2.2724859 -175.8274293
H: -0.23301 -0.0857143 2.2623926 -175.8286179
H: -0.23201 -0.0857143 2.2624040 -175.8286152
H: -0.23101 -0.0642857 2.2724116 -175.8274468
H: -0.23001 -0.0785714 2.2657513 -175.8282230
H: -0.22901 -0.0785714 2.2657684 -175.8282191
H: -0.22801 -0.0714286 2.2690614 -175.8278395
H: -0.22701 -0.0714286 2.2690443 -175.8278435
H: -0.22601 -0.1000000 2.2559980 -175.8293327
H: -0.22501 -0.0714286 2.2690100 -175.8278513
H: -0.22401 -0.0714286 2.2689929 -175.8278552
H: -0.22301 -0.0785714 2.2657713 -175.8282184
H: -0.22201 -0.0928572 2.2593681 -175.8289359
H: -0.22101 -0.0857143 2.2625497 -175.8285816
H: -0.22001 -0.0857143 2.2625611 -175.8285791
H: -0.21901 -0.0642857 2.2720544 -175.8275277
H: -0.21801 -0.0785714 2.2657370 -175.8282261
H: -0.21701 -0.0928571 2.2594767 -175.8289119
H: -0.21601 -0.0928571 2.2594824 -175.8289107
H: -0.21501 -0.0857143 2.2625783 -175.8285752
H: -0.21401 -0.0857143 2.2625897 -175.8285727
H: -0.21301 -0.0785714 2.2656627 -175.8282422
H: -0.21201 -0.0857143 2.2625926 -175.8285721
H: -0.21101 -0.0857143 2.2626040 -175.8285697
H: -0.21001 -0.0928571 2.2595567 -175.8288947
H: -0.20901 -0.0928572 2.2595624 -175.8288935
H: -0.20801 -0.0928572 2.2595681 -175.8288923
H: -0.20701 -0.0857143 2.2625497 -175.8285811
H: -0.20601 -0.1000000 2.2565980 -175.8292010
H: -0.20501 -0.0857143 2.2625326 -175.8285847
H: -0.20401 -0.0928571 2.2595710 -175.8288917
H: -0.20301 -0.0928572 2.2595767 -175.8288905
H: -0.20201 -0.0928571 2.2595824 -175.8288893
H: -0.20101 -0.1000000 2.2566580 -175.8291887
H: -0.20001 -0.1071429 2.2537821 -175.8294781
H: -0.19901 -0.0928571 2.2595396 -175.8288980
H: -0.19801 -0.0857143 2.2623926 -175.8286132
H: -0.19701 -0.1000000 2.2566980 -175.8291806
H: -0.19601 -0.1000000 2.2566980 -175.8291806
H: -0.19501 -0.1000000 2.2566980 -175.8291806
H: -0.19401 -0.1000000 2.2566980 -175.8291806
H: -0.19301 -0.1000000 2.2566980 -175.8291806
H: -0.19201 -0.1000000 2.2566980 -175.8291806
H: -0.19101 -0.1000000 2.2566980 -175.8291806
H: -0.19001 -0.1142857 2.2511920 -175.8297111
H: -0.18901 -0.1071429 2.2539393 -175.8294470
H: -0.18801 -0.1071429 2.2539336 -175.8294481
H: -0.18701 -0.0928571 2.2593481 -175.8289350
H: -0.18601 -0.1071429 2.2539621 -175.8294427
H: -0.18501 -0.1071429 2.2539564 -175.8294438
H: -0.18401 -0.1285714 2.2459689 -175.8301881
H: -0.18301 -0.1071429 2.2539250 -175.8294496
H: -0.18201 -0.1071429 2.2539193 -175.8294507
H: -0.18101 -0.1071429 2.2539136 -175.8294517
H: -0.18001 -0.1142857 2.2513177 -175.8296875
H: -0.17901 -0.1142857 2.2513063 -175.8296896
H: -0.17801 -0.1214286 2.2487333 -175.8299213
H: -0.17701 -0.1142857 2.2513034 -175.8296901
H: -0.17601 -0.1000000 2.2563980 -175.8292359
H: -0.17501 -0.1142857 2.2513206 -175.8296871
H: -0.17401 -0.1357143 2.2437559 -175.8303547
H: -0.17301 -0.1214286 2.2487876 -175.8299116
H: -0.17201 -0.1214286 2.2487704 -175.8299146
H: -0.17101 -0.1142857 2.2512549 -175.8296986
H: -0.17001 -0.1214286 2.2487961 -175.8299102
H: -0.16901 -0.1214286 2.2487790 -175.8299131
H: -0.16801 -0.1357143 2.2439244 -175.8303255
H: -0.16701 -0.1285714 2.2463403 -175.8301212
H: -0.16601 -0.1214286 2.2487476 -175.8299184
H: -0.16501 -0.1285714 2.2463546 -175.8301188
H: -0.16401 -0.1214286 2.2487333 -175.8299208
H: -0.16301 -0.1285714 2.2463689 -175.8301165
H: -0.16201 -0.1357143 2.2440130 -175.8303107
H: -0.16101 -0.1500000 2.2393470 -175.8306917
H: -0.16001 -0.1357143 2.2439959 -175.8303135
H: -0.15901 -0.1285714 2.2462974 -175.8301281
H: -0.15801 -0.1214286 2.2485904 -175.8299441
H: -0.15701 -0.1428572 2.2417486 -175.8304902
H: -0.15601 -0.1428571 2.2417543 -175.8304893
H: -0.15501 -0.1428571 2.2417600 -175.8304884
H: -0.15401 -0.1357143 2.2439844 -175.8303152
H: -0.15301 -0.1357143 2.2439959 -175.8303135
H: -0.15201 -0.1428571 2.2417771 -175.8304857
H: -0.15101 -0.1571429 2.2373911 -175.8308224
H: -0.15001 -0.1500000 2.2395870 -175.8306536
H: -0.14901 -0.1428571 2.2417343 -175.8304923
H: -0.14801 -0.1428571 2.2417400 -175.8304914
H: -0.14701 -0.1571429 2.2374683 -175.8308107
H: -0.14601 -0.1428571 2.2417114 -175.8304957
H: -0.14501 -0.1571429 2.2374969 -175.8308065
H: -0.14401 -0.1571429 2.2374911 -175.8308073
H: -0.14301 -0.1642857 2.2354239 -175.8309569
H: -0.14201 -0.1500000 2.2395470 -175.8306594
H: -0.14101 -0.1500000 2.2395470 -175.8306594
H: -0.14001 -0.1642857 2.2354696 -175.8309503
H: -0.13901 -0.1714286 2.2334537 -175.8310926
H: -0.13801 -0.1642857 2.2354667 -175.8309507
H: -0.13701 -0.1500000 2.2394470 -175.8306735
H: -0.13601 -0.1642857 2.2354839 -175.8309484
H: -0.13501 -0.1857143 2.2295906 -175.8313535
H: -0.13401 -0.1714286 2.2335080 -175.8310850
H: -0.13301 -0.1714286 2.2334909 -175.8310873
H: -0.13201 -0.1642857 2.2354181 -175.8309573
H: -0.13101 -0.1714286 2.2335166 -175.8310839
